ID,itemname,category,stock,price,img_url
1,Women Boots Blue ,footwear women,11,110,http://140.113.167.23/se2020/footwear/item-1.jpg
2,Women High-heel Peach,footwear women,12,120,http://140.113.167.23/se2020/footwear/item-2.jpg
3,Men Sneaker Grey,footwear men,13,130,http://140.113.167.23/se2020/footwear/item-3.jpg
4,Men Sport Blue,footwear men,14,140,http://140.113.167.23/se2020/footwear/item-4.jpg
5,Women High-heel Red,footwear women,15,150,http://140.113.167.23/se2020/footwear/item-5.jpg
6,Men Outdoor Black-Green,footwear men,16,160,http://140.113.167.23/se2020/footwear/item-6.jpg
7,Men Leather Brown,footwear men,17,170,http://140.113.167.23/se2020/footwear/item-7.jpg
8,Men Formal Brown,footwear men,18,180,http://140.113.167.23/se2020/footwear/item-8.jpg
9,Men Outdoor Brown,footwear men,19,190,http://140.113.167.23/se2020/footwear/item-9.jpg
10,Women High-heel Blue-Brown,footwear women,20,200,http://140.113.167.23/se2020/footwear/item-10.jpg
11,Men Jacket Olive-Green,fashion men,21,210,http://140.113.167.23/se2020/fashion/item-1.jpg
12,Men Shirt Olive-Green,fashion men,22,220,http://140.113.167.23/se2020/fashion/item-3.jpg
13,Women Sweater Orange,fashion women,23,230,http://140.113.167.23/se2020/fashion/item-3.jpg
14,Women Sweater Peach,fashion women,24,240,http://140.113.167.23/se2020/fashion/item-4.jpg
15,Women Sweater Orange-Tortilla,fashion women,25,250,http://140.113.167.23/se2020/fashion/item-5.jpg
16,Women Sweater Grey,fashion women,26,260,http://140.113.167.23/se2020/fashion/item-6.jpg
